X,Y,OBJECTID,StopID,StopCode,StopName,Latitude,Longitude,StopURL
-78.4773330678213,38.0289878847839,3984,17333,17333,Downtown Transit Station,38.02898788,-78.47733307,http://catpublic.etaspot.net/
-78.480140685248,38.0295600889927,3985,11015,11015,E Water St at 3rd St SE,38.02956009,-78.48014069,http://catpublic.etaspot.net/
-78.4844589233537,38.030841826431,3986,11036,11036,Water St at The Omni,38.03084183,-78.48445892,http://catpublic.etaspot.net/
-78.4872283944344,38.0308685309321,3987,11058,11058,W Main St at 5th St SW,38.03086853,-78.48722839,http://catpublic.etaspot.net/
-78.4905319219211,38.0317039487146,3988,11091,11091,W Main St at 8th St NW,38.03170395,-78.49053192,http://catpublic.etaspot.net/
-78.4925003038326,38.032169341936,3989,11186,11186,W Main St at The Standard,38.03216934,-78.49250031,http://catpublic.etaspot.net/
-78.4957427976906,38.0328903204855,3990,11129,11129,W Main St at 11th St NW,38.03289032,-78.4957428,http://catpublic.etaspot.net/
-78.500457763688,38.0325851444481,3991,11193,11193,JPA at UVA Hospital,38.03258514,-78.50045776,http://catpublic.etaspot.net/
-78.5040893557872,38.0321617117233,3992,11155,11155,JPA at Cabell Hall,38.03216171,-78.50408936,http://catpublic.etaspot.net/
-78.508369445533,38.0310478212481,3993,11846,11846,JPA at Woodrow St,38.03104782,-78.50836945,http://catpublic.etaspot.net/
-78.5098190305963,38.0288200375019,3994,11164,11164,JPA at Montebello Cir,38.02882004,-78.50981903,http://catpublic.etaspot.net/
-78.5115966799241,38.0276336670073,3995,11172,11172,JPA at Shamrock Rd,38.02763367,-78.51159668,http://catpublic.etaspot.net/
-78.514564514129,38.0261230474935,3996,11210,11210,JPA at Maury Ave,38.02612305,-78.51456451,http://catpublic.etaspot.net/
-78.515884400354,38.0270500182052,3997,11223,11223,Maury Ave at Clark Ct,38.02705002,-78.5158844,http://catpublic.etaspot.net/
-78.5163955689852,38.0290527339691,3998,10687,10687,Alderman Rd at Stadium Rd,38.02905273,-78.51639557,http://catpublic.etaspot.net/
-78.5128936780284,38.0321502679269,3999,21001,21001,Whitehead Rd at Geldard Dr,38.03215027,-78.51289368,http://catpublic.etaspot.net/
-78.5078582755283,38.0362815859672,4000,10472,10472,Emmet St at The Central Grounds Garage,38.03628159,-78.50785828,http://catpublic.etaspot.net/
-78.5070571893251,38.0383148188643,4001,10660,10660,Emmet St at The Snyder Tennis Courts,38.03831482,-78.50705719,http://catpublic.etaspot.net/
-78.5050506582992,38.037384032266,4002,21007,21007,University Ave at Newcomb Ln,38.03738403,-78.50505066,http://catpublic.etaspot.net/
-78.5028381356739,38.0365066533836,4003,11281,11281,University Ave at The Rotunda,38.03650665,-78.50283813,http://catpublic.etaspot.net/
-78.4998397834546,38.0340690615405,4004,11247,11247,University Ave at The Women's Center,38.03406906,-78.49983978,http://catpublic.etaspot.net/
-78.4956817617807,38.0327339170654,4005,11138,11138,W Main St at 11th St SW,38.03273392,-78.49568176,http://catpublic.etaspot.net/
-78.4923858632032,38.032016753294,4006,11101,11101,W Main St at The Flats,38.03201675,-78.49238586,http://catpublic.etaspot.net/
-78.4868087753097,38.0306282034613,4007,11062,11062,W Main St at 4th St NW,38.0306282,-78.48680878,http://catpublic.etaspot.net/
-78.4842681882471,38.0301399228045,4008,20199,20199,Midway Manor,38.03013992,-78.48426819,http://catpublic.etaspot.net/
-78.4822616586292,38.0309066778183,4009,17305,17305,2nd St at The Downtown Mall,38.03090668,-78.48226166,http://catpublic.etaspot.net/
-78.4805450431852,38.0312995916584,4010,11299,11299,E Market St at 2nd St NE,38.03129959,-78.48054504,http://catpublic.etaspot.net/
-78.4779586798502,38.0304908746251,4011,11309,11309,E Market St at 5th St NE,38.03049088,-78.47795868,http://catpublic.etaspot.net/
-78.4740371697107,38.0290222165886,4012,11321,11321,E Market St at 10th St NE,38.02902222,-78.47403717,http://catpublic.etaspot.net/
-78.4853286748293,38.0283584600495,4013,19232,19232,Monticello Ave at Ridge St Eastbound,38.02835846,-78.48532867,http://catpublic.etaspot.net/
-78.4821166996718,38.0266075136113,4014,14237,14237,Monticello Ave at 2nd St SE,38.02660751,-78.4821167,http://catpublic.etaspot.net/
-78.4809265139808,38.0252265934677,4015,14228,14228,Monticello Ave at 6th St SE,38.02522659,-78.48092651,http://catpublic.etaspot.net/
-78.4774703974894,38.0235214228684,4016,19820,19820,Monticello Ave at Rialto St,38.02352142,-78.4774704,http://catpublic.etaspot.net/
-78.4744338991961,38.0216598506333,4017,12505,12505,Monticello Ave at Castalia St,38.02165985,-78.4744339,http://catpublic.etaspot.net/
-78.4740676879127,38.0200233456096,4018,19189,19189,Monticello Ave at Blenheim Ave,38.02002335,-78.47406769,http://catpublic.etaspot.net/
-78.475044251771,38.0185737609902,4019,12676,12676,Monticello Ave at Elliott Ave,38.01857376,-78.47504425,http://catpublic.etaspot.net/
-78.4808502191518,38.0058135994613,4020,19849,19849,PVCC at The Stultz Ctr,38.0058136,-78.48085022,http://catpublic.etaspot.net/
-78.4881362910675,38.0051765447125,4021,12800,12800,PVCC at The Dickinson Bldg,38.00517654,-78.48813629,http://catpublic.etaspot.net/
-78.4837646479159,38.0074653628556,4022,14926,14926,PVCC at The Main Bldg,38.00746536,-78.48376465,http://catpublic.etaspot.net/
-78.4731674195986,38.0153656010227,4023,19883,19883,Monticello Rd at Druid Ave,38.0153656,-78.47316742,http://catpublic.etaspot.net/
-78.4730529782152,38.0179557810697,4024,19877,19877,Monticello Rd at Elliott Ave,38.01795578,-78.47305298,http://catpublic.etaspot.net/
-78.4728546145498,38.0197601322591,4025,19854,19854,Monticello Rd at Carlton Rd,38.01976013,-78.47285461,http://catpublic.etaspot.net/
-78.4743347178895,38.0218276980931,4026,12431,12431,Monticello Ave at Tufton Ave,38.0218277,-78.47433472,http://catpublic.etaspot.net/
-78.4776153566002,38.0236854556461,4027,19831,19831,Monticello Ave at Rialto St,38.02368546,-78.47761536,http://catpublic.etaspot.net/
-78.4807357797393,38.025394439466,4028,19191,19191,Monticello Ave at 6th St SE,38.02539444,-78.48073578,http://catpublic.etaspot.net/
-78.4824752798676,38.0272941587376,4029,19209,19209,Monticello Ave at 2nd St SE,38.02729416,-78.48247528,http://catpublic.etaspot.net/
-78.485343933748,38.0286064143513,4030,19213,19213,Monticello Ave at Ridge St Westbound,38.02860641,-78.48534393,http://catpublic.etaspot.net/
-78.4848709108611,38.0316314707634,4031,11043,11043,Ridge McIntire Rd at The Omni,38.03163147,-78.48487091,http://catpublic.etaspot.net/
-78.4833679191322,38.0327033991876,4032,11494,11494,W Market St at Old Preston Ave,38.0327034,-78.48336792,http://catpublic.etaspot.net/
-78.4727249132941,38.0314865112846,4033,16512,16512,E High St at 9 1/2 St NE,38.03148651,-78.47272491,http://catpublic.etaspot.net/
-78.4710388181593,38.0306892396223,4034,19115,19115,Little High St at 11th St Eastbound,38.03068924,-78.47103882,http://catpublic.etaspot.net/
-78.4679412839924,38.029609679768,4035,19104,19104,Little High St at 12th St Eastbound,38.02960968,-78.46794128,http://catpublic.etaspot.net/
-78.4660034179601,38.0271377560877,4036,19087,19087,Chesapeake St at Meade Park,38.02713776,-78.46600342,http://catpublic.etaspot.net/
-78.4624633792027,38.0243148806761,4037,12580,12580,E Market St at 18th St NE,38.02431488,-78.46246338,http://catpublic.etaspot.net/
-78.4582443236606,38.0239486693415,4038,19060,19060,Chesapeake St at Riverview St,38.02394867,-78.45824432,http://catpublic.etaspot.net/
-78.4549636829678,38.024677277053,4039,19039,19039,Riverside Ave Northbound,38.02467728,-78.45496368,http://catpublic.etaspot.net/
-78.4562606801613,38.0269699094648,4040,19041,19041,Riverside Ave at Riverbluff Cir,38.02696991,-78.45626068,http://catpublic.etaspot.net/
-78.4551239011687,38.0246963503365,4041,19056,19056,Riverside Ave,38.02469635,-78.4551239,http://catpublic.etaspot.net/
-78.4587173462838,38.0242233277455,4042,12412,12412,Chesapeake St at Riverview St,38.02422333,-78.45871735,http://catpublic.etaspot.net/
-78.4612197875116,38.025234221836,4043,17712,17712,Chesapeake St at 18th St NE,38.02523422,-78.46121979,http://catpublic.etaspot.net/
-78.4624099739121,38.0267295827618,4044,12624,12624,Fairway Ave at Short 18th St,38.02672958,-78.46240997,http://catpublic.etaspot.net/
-78.4635086053904,38.0290870666027,4045,12648,12648,Fairway Ave at Arbor Cir,38.02908707,-78.46350861,http://catpublic.etaspot.net/
-78.4647903451399,38.0301742551469,4046,12465,12465,Fairway Ave at Meade Ave,38.03017426,-78.46479034,http://catpublic.etaspot.net/
-78.4656906127771,38.0291366577643,4047,12483,12483,Meade Ave at Caroline Ave,38.02913666,-78.46569061,http://catpublic.etaspot.net/
-78.4679183964434,38.0297126778501,4048,19094,19094,Little High St at 12th St Westbound,38.02971268,-78.4679184,http://catpublic.etaspot.net/
-78.4709625233678,38.0307960505555,4049,19127,19127,Little High St at 11th St Westbound,38.03079605,-78.47096252,http://catpublic.etaspot.net/
-78.4723434440466,38.0316390986343,4050,16475,16475,E High St at Locust Ave,38.0316391,-78.47234344,http://catpublic.etaspot.net/
-78.4864501954806,38.0280685413358,4051,12994,12994,Ridge St at Dice St Southbound,38.02806854,-78.4864502,http://catpublic.etaspot.net/
-78.4885787959444,38.026199340878,4052,12987,12987,Ridge St at Cherry Ave,38.02619934,-78.4885788,http://catpublic.etaspot.net/
