RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
1,Larceny - All Other,202100034555,100,W MAIN ST,CPD,2021/12/10 01:39:39+00,2039,"Lowe, Courtney"
2,Assault Intimidation,202100034537,1000,CHERRY AVE,CPD,2021/12/09 22:31:58+00,1731,"Holley, Barrett"
3,Larceny - All Other,202100034542,700,"PROSPECT AVE, J",CPD,2021/12/09 22:13:18+00,1713,"TRAVERS, JOSHUA"
4,Hit and Run,202100034531,400,W MAIN ST,CPD,2021/12/09 21:32:58+00,1632,"Holley, Barrett"
5,Assist Citizen - Mental/TDO/ECO,202100034527,700,ROCKLAND AVE,CPD,2021/12/09 21:03:41+00,1603,"Chan, William"
6,Disorderly Conduct,202100034526,500,E MAIN ST,CPD,2021/12/09 20:50:39+00,1550,"Houchens, Logan"
7,Death Investigation - DOA,202100034522,1000,COTTONWOOD RD,CPD,2021/12/09 19:16:37+00,1416,"Nash, Darius"
8,Larceny - From Motor Vehicle,202100034521,100,GREENWICH CT,CPD,2021/12/09 19:05:04+00,1405,"Pendleton, Eric"
9,Lost/FoundProperty,202180000197,600,DAVIS AVE,CPD,2021/12/09 17:49:00+00,1249,"Moje, Ashley"
10,Missing Person-adult,202100034512,700,ROCKLAND AVE,CPD,2021/12/09 16:19:47+00,1119,"Pendleton, Eric"
11,Drug Investigation,202100034511,600,E MARKET ST,CPD,2021/12/09 16:14:16+00,1114,"Bowers, Justin"
12,Fraud-impersonation,202100034513,300,10 1/2 ST NW,CPD,2021/12/09 16:01:25+00,1101,"Arndt, Brian"
13,Hit and Run,202100034496,400,9TH ST SW,CPD,2021/12/09 12:41:53+00,0741,"Pittman, Terry"
14,Motor Vehicle Theft,202100034492,300,QUARRY RD,CPD,2021/12/09 06:43:00+00,0143,"Blackwell, Ryan"
15,Suspicious Activity,202100034490,100,ROYS PL,CPD,2021/12/09 05:14:29+00,0014,"Blackwell, Ryan"
16,Missing Person-juvenile,202100034477,800,RIDGE ST,CPD,2021/12/09 00:10:15+00,1910,"Gower, Charles"
17,Assist Citizen - Mental/TDO/ECO,202100034471,600,DICE ST,CPD,2021/12/08 23:37:39+00,1837,"Lucas, Corbin"
18,Fraud-wire fraud,202100034464,100,MCINTIRE PARK DR,CPD,2021/12/08 23:13:21+00,1813,"Chan, William"
19,Hit and Run,202100034459,400,15TH ST NW,CPD,2021/12/08 22:00:33+00,1700,"Chan, William"
20,Fraud-wire fraud,202100034458,200,STRIBLING AVE,CPD,2021/12/08 21:59:25+00,1659,"Houchens, Logan"
21,Accident Private Property,202100034448,1100,EMMET ST N,CPD,2021/12/08 20:56:12+00,1556,"Burchardt, Rudy"
22,Sex Offense-forcible fondling,202100034443,1600,CHERRY AVE,CPD,2021/12/08 20:13:55+00,1513,"Eckenroth, Rachel"
