RecordID,Incident_ID,AddressRaw,AddressStandardized,AlarmDateTimeAmericaNY,CauseOfIgnition,FireAreaOfOrigin,FireType,HeatSource,IncidentDurationMinutes,ItemFirstIgnited,Latitude,Longitude,PropertyLossDollars,PropertyUse,StreetName,StreetNumber,StreetPostDirection,StreetPredirection,StreetSuffix,UnitFirstArrive,UnitFirstResponseTimeMinutes,Year,ZipCode
1,2000930,2400 FONTAINE AVE,2400 FONTAINE AVE,2002/04/14 16:38:57+00,Undetermined, ,Natural vegetation fire, ,17.29999924, ,38.06999969,-78.48999786,0,Undetermined,FONTAINE,2400, , ,AVE,E6,3.5,2002,22901
2,2003381,905 FOREST ST,905 FOREST ST,2002/11/07 20:21:02+00,Intentional,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,Cigarette lighter,258.70001221,"Box, carton, bag, basket, barrel",38.04000092,-78.48999786,40000,1 or 2 family dwelling,FOREST,905, , ,ST,C2,3.20000005,2002,22901
3,2003463,219 5TH ST SW,219 5TH ST SW,2002/11/14 12:46:32+00, , ,Mobile property (vehicle) fire, ,9.39999962, ,38.02999878,-78.48999786,0, ,5TH,219,SW, ,ST,BC2,0.05,2002,22903
4,2003769, , ,2002/12/11 14:30:15+00, , ,Structure Fire, ,24.89999962, ,38.00999832,-78.48999786,0,1 or 2 family dwelling, , , , , ,BC2,1.60000002,2002,22902
5,2003827,822 HARDY DR,822 HARDY DR,2002/12/17 07:38:34+00,Intentional,"Cooking area, kitchen",Structure Fire,"Heat from powered equipment, other",98.80000305,"Box, carton, bag, basket, barrel",38.06999969,-78.48999786,15000,Multifamily dwelling,HARDY,822, , ,DR,E7,5.92999983,2002,22901
6,2003891,900 HILLCREST RD,900 HILLCREST RD,2002/12/22 16:23:05+00,Intentional, ,Structure Fire, ,51.59999847,Exterior roof covering or finish,38.04000092,-78.48000336,0,1 or 2 family dwelling,HILLCREST,900, , ,RD,BTCO2,2.67000008,2002,22901
7,2000079, , ,2003/01/08 17:29:18+00,Other cause, ,Natural vegetation fire,Arcing,48.40000153, ,38.00999832,-78.48999786,0,"Pipeline, power line or other utility right of way", , , , , ,E5,3.72000003,2003,22902
8,2030084,20 BONNYCASTLE DR,20 BONNYCASTLE DR,2003/01/09 15:23:46+00,"Cause, other",Office,Structure Fire,Arcing,28.39999962,"Electrical wire, cable insulation",38.04000092,-78.51000214,0,"Dormitory type residence, other",BONNYCASTLE,20, , ,DR,E2,3.56999993,2003,22908
9,2030087,1526 TRAILRIDGE RD,1526 TRAILRIDGE RD,2003/01/09 20:41:44+00,Cause under investigation,"Bedroom - < 5 persons; included are jail or prison",Structure Fire,Cigarette,78.69999695,"Bedding; blanket, sheet, comforter",38.02000046,-78.5,5000,1 or 2 family dwelling,TRAILRIDGE,1526, , ,RD,E5,4.13000011,2003,22903
10,2030117,100 RIDGE ST,100 RIDGE ST,2003/01/12 07:23:38+00,Intentional,"Chute/container - trash, rubbish, waste",Structure Fire,Cigarette,118.69999695,"Rubbish, trash, or waste",38.02999878,-78.48999786,5000,Multifamily dwelling,RIDGE,100, , ,ST,E7,2.61999989,2003,22902
11,2030142,1421 HAZEL ST,1421 HAZEL ST,2003/01/14 04:25:57+00,Unintentional,"Cooking area, kitchen",Structure Fire,"Spark, ember, or flame from operating equipment",39.40000153,"Cooking materials, including edible materials",38.02999878,-78.45999908,0,1 or 2 family dwelling,HAZEL,1421, , ,ST,E7,6.17000008,2003,22902
12,2030152,975 EMMET ST N,975 EMMET ST N,2003/01/15 11:25:03+00,Unintentional,"Sales area, showroom (exclude display window)",Structure Fire,Undetermined,549.09997559,"Box, carton, bag, basket, barrel",38.04999924,-78.5,1310000,"Food and beverage sales, grocery store",EMMET,975,N, ,ST,BTCO2,5.38000011,2003,22903
13,2030169, , ,2003/01/16 22:13:35+00,Failure of equipment or heat source,"Vehicle area, other",Mobile property (vehicle) fire,"Heat from powered equipment, other",56.29999924,"Electrical wire, cable insulation",38.00999832,-78.48999786,0, , , , , , ,E7,4.13000011,2003,22901
14,2030180,1600 6TH ST SE,1600 6TH ST SE,2003/01/18 05:53:30+00,Cause undetermined after investigation,"Storage: supplies or tools; dead storage",Fire in mobile property used as a fixed structure,Undetermined,22.39999962,"Mattress, pillow",38.02000046,-78.48999786,200,Outbuilding or shed,6TH,1600,SE, ,ST,E5,5.57000017,2003,22902
15,2030266,1604 JAMESTOWN DR,1604 JAMESTOWN DR,2003/01/24 23:22:40+00,Other cause, ,Natural vegetation fire,Hot ember or ash,24.89999962, ,38.06000137,-78.47000122,0,"Forest, timberland, woodland",JAMESTOWN,1604, , ,DR,E2,4.17999983,2003,22903
