X,Y,OBJECTID,geo_MAT_Status,geo_MAT_ST_NUMBER,geo_MAT_PREDIR,geo_MAT_ST_NAME,geo_MAT_SUFFIX,geo_MAT_POSTDIR,centroid_BUILD_STREET,unit,address,geo_MAT_MasterAddressID
-78.4826739736364,38.0293712069098,10470392,,108,W,SOUTH,ST, ,W SOUTH ST,201,108 W SOUTH ST #201,105824
-78.4826739736364,38.0293712069098,10470393,,108,W,SOUTH,ST, ,W SOUTH ST,202,108 W SOUTH ST #202,105825
-78.4812911562463,38.0300410017784,10470394,,111,E,WATER,ST, ,E WATER ST,,111 E WATER ST,87947
-78.4826739736364,38.0293712069098,10470395,,108,W,SOUTH,ST, ,W SOUTH ST,203,108 W SOUTH ST #203,105826
-78.4919577576785,38.0382653580236,10470396,,416, ,10TH,ST,NW,10TH ST NW,,416 10TH ST NW,87993
-78.4578649047403,38.0397866875417,10470397,,1226, ,SMITH,ST, ,SMITH ST,H,1226 SMITH ST #H,88038
-78.4636415750538,38.0325545112727,10470398,,1431,E,HIGH,ST, ,E HIGH ST,,1431 E HIGH ST,88075
-78.4790157298147,38.0223896921978,10470399,,721, ,BLENHEIM,AVE, ,BLENHEIM AVE,,721 BLENHEIM AVE,88120
-78.5087287420672,38.0283760344134,10470400,,1800, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,306,1800 JEFFERSON PARK AVE #306,88158
-78.5188815637961,38.025050467343,10470401,,109, ,PIEDMONT,AVE,S,PIEDMONT AVE S,,109 PIEDMONT AVE S,88211
-78.4939998318414,38.0299697457883,10470402,,814, ,NALLE,ST, ,NALLE ST,A,814 NALLE ST #A,88308
-78.4927656355631,38.0413717024167,10470403,,1025, ,PRESTON,AVE, ,PRESTON AVE,B,1025 PRESTON AVE #B,88452
-78.4676634049406,38.0193666447707,10470404,,1410, ,VINE,ST, ,VINE ST,B,1410 VINE ST #B,88542
-78.4796639809256,38.0321071831784,10470405,,217,E,JEFFERSON,ST, ,E JEFFERSON ST,,217 E JEFFERSON ST,88623
-78.4785872769545,38.0305096433723,10470406,,408,E,MARKET,ST, ,E MARKET ST,205B,408 E MARKET ST #205B,88722
-78.4867073698952,38.0606584203549,10470407,,2111, ,MICHIE,DR, ,MICHIE DR,69,2111 MICHIE DR #69,88820
-78.4973235836392,38.0399726721275,10470408,,512, ,15TH,ST,NW,15TH ST NW,2,512 15TH ST NW #2,88910
-78.4722172578626,38.039048226565,10470409,,608, ,LYONS,AVE, ,LYONS AVE,,608 LYONS AVE,89007
-78.5027861216929,38.0309207453107,10470410,,428, ,MONROE,LN, ,MONROE LN,207,428 MONROE LN #207,89072
-78.478527957583,38.0309481489477,10470411,,401,E,MARKET,ST, ,5TH ST NE,200,401 E MARKET ST #200,89182
-78.500691756552,38.0458628993906,10470412,,1845, ,FENDALL,AVE, ,FENDALL AVE,,1845 FENDALL AVE,89272
-78.4757831104779,38.0247085223847,10470413,,816, ,HINTON,AVE, ,HINTON AVE,,816 HINTON AVE,89355
-78.4826236330329,38.0285305914289,10470414,,126, ,GARRETT,ST, ,GARRETT ST,K,126 GARRETT ST #K,89408
-78.4705913167497,38.0341782954802,10470415,,608, ,ST CHARLES,AVE, ,ST CHARLES AVE,B,608 ST CHARLES AVE #B,89507
-78.4821160585148,38.0304549630894,10470416,,107,W,WATER,ST, ,W WATER ST,12,107 W WATER ST #12,89604
-78.4597131242923,38.0456309146473,10470417,,107, ,LOCUST LANE,CT, ,LOCUST LANE CT,,107 LOCUST LANE CT,89700
-78.4823110716203,38.0339843860832,10470418,,404, ,ALTAMONT,ST, ,ALTAMONT ST,,404 ALTAMONT ST,89789
-78.4854704947272,38.0339647121888,10470419,,401,,4TH,ST,NW,4TH ST NW,314,401 4TH ST NW #314,89839
-78.4599335415842,38.0372780779874,10470420,,912, ,COLEMAN,ST, ,COLEMAN ST,,912 COLEMAN ST,89892
-78.468350531481,38.0292742488458,10470421,,311, ,12TH,ST,NE,12TH ST NE,,311 12TH ST NE,89930
-78.4722001511215,38.0144999224164,10470422,,1806, ,EASTVIEW,ST, ,EASTVIEW ST,A,1806 EASTVIEW ST #A,89968
-78.4801216448831,38.0305575157632,10470423,,221,E,MAIN,ST, ,E MAIN ST,,221 E MAIN ST,90022
-78.5046330087895,38.0203280820091,10470424,,1612, ,TRAILRIDGE,RD, ,TRAILRIDGE RD,,1612 TRAILRIDGE RD,90060
-78.4663228522359,38.0426908552166,10470425,,700, ,NORTH,AVE, ,NORTH AVE,,700 NORTH AVE,90113
-78.464182088838,38.0286185806249,10470426,,423, ,FAIRWAY,AVE, ,FAIRWAY AVE,,423 FAIRWAY AVE,90166
-78.5151533200064,38.022194491784,10470427,,2417, ,JEFFERSON PARK,AVE, ,JEFFERSON PARK AVE,B,2417 JEFFERSON PARK AVE #B,90220
