ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
010001600,98121700,36585704,600,MASSIE RD,,80 AC JAG SCHOOL,3516163.2
010001200,1521800,36585705,1159,MILLMONT ST,,LOT C-1 WEST BAR,25264.8
010001500,1829100,36585706,1149,MILLMONT ST,,LOT C-2A WEST BAR,39944.52
010001000,168566100,36585707,1117,EMMET ST N,,39.832 ACRES BARRACKS ROAD SHOPPING CENTER,1937043.504
010001300,1026900,36585708,1135-37,MILLMONT ST,,LOT C-2B WEST BAR,17816.04
010001400,16421200,36585709,1111,MILLMONT ST,,LOT B-1 WEST BAR,143181.72
010004100,4582100,36585710,1170,EMMET ST N,,PARCEL 3 & PAR X,51879.96
010001700,8190900,36585711,1101,MILLMONT ST,,PARCEL V WEST BAR,150761.16
010004000,3738500,36585712,1138,EMMET ST N,,LOT M,109104.732
010004300,750100,36585713,1134,EMMET ST N,,LOT 2B,8886.24
010005000,289000,36585714,0,BARRACKS RD,,LOT 11 BK 10 RUGBY,36198.36
010018000,12634700,36585715,1001,EMMET ST N,,"PARCELS 1,2 &3",315417.96
010006000,1318500,36585716,2028,BARRACKS RD,,LOTS 9 & 10 BK 10 RUGBY,82676.88
010017100,1446400,36585717,1895,WESTVIEW RD,,LOT B BK 11 RUGBY,40336.56
010007000,1627100,36585718,1930,BARRACKS RD,,"LOTS 7,8 & STRIP BK 10 RUGBY",32670
010016000,756700,36585719,1891,WESTVIEW RD,,LOT 2 BK 11 RUGBY,43560
010008000,341500,36585720,0,BARRACKS RD,,LOT 6 & PT 5 BK 10 RUGBY,59633.64
010017000,1033700,36585721,1893,WESTVIEW RD,,LOT A BK 11 RUGBY,19645.56
010015000,1082700,36585722,1889,WESTVIEW RD,,LOT 3 BK 11 RUGBY,41120.64
010009000,1136700,36585723,1920,BARRACKS RD,,LOT 4 & PT LOT 5 BK 10 RUGBY,88252.56
010014000,1387000,36585724,1885,WESTVIEW RD,,LOT 4 BK 11 RUGBY,56235.96
010019000,723600,36585725,1890,WESTVIEW RD,,6537 SQ FT BK 9 RUGBY,6534
010020000,1285500,36585726,1888,WESTVIEW RD,,"LOTS 10,11 &TRI LOT BK 9 RUGBY",22215.6
020001000,289000,36585727,0,BARRACKS RD,,LOT 3 BK 10 RUGBY,50006.88
010012000,764200,36585728,1857,WESTVIEW RD,,PT LOTS 5 & 6 BK 11 RUGBY,37505.16
010021000,1234300,36585729,1884,WESTVIEW RD,,LOT 12 BK 9 RUGBY,14984.64
020002000,157500,36585730,0,BARRACKS RD,,PT LOT 2,25003.44
010011000,1035500,36585731,1855,WESTVIEW RD,,PT LOTS 6 & 7 BK 11 RUGBY,44387.64
020003000,1251400,36585732,1910,BARRACKS RD,,LOT 1 & PT 2 BK 10 RUGBY,103324.32
010033000,556800,36585733,1884,FIELD RD,,PT LOT 18 BK 8 RUGBY,12066.12
010048000,2990300,36585734,918,EMMET ST N,,LOT A-2,32626.44
010022000,1340000,36585735,1882,WESTVIEW RD,,LOT 13 BK 9 RUGBY,15071.76
010034000,947100,36585736,1882,FIELD RD,,LOT 17 & PT 18 BK 8 RUGBY,14157
010030100,730700,36585737,1871,FIELD RD,,PT LOTS 7 & 8 BK 9 RUGBY,14244.12
010010000,1061500,36585738,1851,WESTVIEW RD,,LOT 8 & PT 7 BK 11 RUGBY,40510.8
010023000,853100,36585739,1880,WESTVIEW RD,,LOT 14 BK 9 RUGBY,14984.64
010048200,2946100,36585740,914,EMMET ST N,,LOT A-1,30230.64
020004000,586100,36585741,120,BUCKINGHAM RD,,LOT 1 RUGBY SIDE,24175.8
010035000,653300,36585742,1874,FIELD RD,,LOT 16 BK 8 RUGBY,17511.12
010047000,970700,36585743,905,FENDALL TER,,"LOT 15, PT 14 & STR BK 6 RUGBY",70000.92
010030000,750400,36585744,1869,FIELD RD,,PT LOTS 6 & 7 BK 9 RUGBY,14244.12
020005000,1048000,36585745,128,BUCKINGHAM RD,,LOTS 2 & 3 RUGBY SIDE,39552.48
010049000,846000,36585746,900,EMMET ST N,,LOT 3 BK 4 DUKE,18077.4
020026000,1769100,36585747,1861,WESTVIEW RD,,"LOTS 9,10 & PT 11 BK 11 RUGBY",76186.44
010036000,740600,36585748,1872,FIELD RD,,LOT 15 BK 8 RUGBY,17511.12
010029000,876500,36585749,1867,FIELD RD,,LOT 5 & PT 6 BK 9 RUGBY,18556.56
010049100,465900,36585750,0,EMMET ST N,,LOT,9191.16
020006300,614800,36585751,118,BUCKINGHAM RD,,LOT 8 RUGBY SIDE,27355.68
010048100,947900,36585752,902,EMMET ST N,,LOT B,20255.4
010037000,923600,36585753,1870,FIELD RD,,LOT 14 BK 8 RUGBY,17511.12
020007000,876100,36585754,104,BUCKINGHAM RD,,LOT 4 RUGBY SIDE,22172.04
010026000,939800,36585755,1852,WESTVIEW RD,,LOT 17 & PT 16 & 18 BK 9 RUGBY,24393.6
020008000,442500,36585756,1820,BARRACKS RD,,LOT 1,10890
020025000,2038400,36585757,1839,WESTVIEW RD,,LOT 12A &REVISED LOT 12 BK 11 RUGBY,80150.4
020009000,466000,36585758,1812,BARRACKS RD,,LOT 2,14113.44
010028000,775300,36585759,1865,FIELD RD,,LOT 4 BK 9 RUGBY,14984.64
010038000,1341100,36585760,1868,FIELD RD,,LOT 13 BK 8 RUGBY,17511.12
010041000,1569200,36585761,906,FENDALL TER,,"LOTS B,C & STRIP RUGBY",45825.12
020006200,530400,36585762,114,BUCKINGHAM RD,,LOT 7 RUGBY SIDE,17903.16
020024000,1667400,36585763,1833,WESTVIEW RD,,LOT 14 (4.039 ACRES),175938.84
020014000,597800,36585764,1808,BARRACKS RD,,LOT 3 HOWARD,16814.16
010027000,878600,36585765,1863,FIELD RD,,LOT 3 BK 9 RUGBY,14897.52
020006000,764900,36585766,108,BUCKINGHAM RD,,LOT 5 RUGBY SIDE,19340.64
020027000,962800,36585767,1848,WESTVIEW RD,,PT LOTS 18 & 19 BK 9 RUGBY,16944.84
020006100,474400,36585768,110,BUCKINGHAM RD,,LOT 6 RUGBY SIDE,22999.68
010046000,1210500,36585769,901,FENDALL TER,,LOT 13 & PT 14 BK 6 RUGBY,29228.76
020010000,411700,36585770,116,HOWARD DR,,LOT 8 HOWARD,9844.56
010039000,724800,36585771,1866,FIELD RD,,LOT 12 BK 8 RUGBY,17511.12
020015000,566700,36585772,1806,BARRACKS RD,,LOT 4,15725.16
020032000,1456000,36585773,1861,FIELD RD,,LOT 2 & PT 1 BK 9 RUGBY,18730.8
020028000,923500,36585774,1844,WESTVIEW RD,,"PT LOTS 19,20 & STR BK 9 RUGBY",18730.8
010040000,781700,36585775,1864,FIELD RD,,LOT 11 BK 8 RUGBY,17511.12
020011000,612800,36585776,114,HOWARD DR,,LOT 7 HOWARD,0
020016000,591900,36585777,1800,BARRACKS RD,,LOT A,17075.52
020021000,773600,36585778,941,ROSSER LN,,LOT C BK 13 RUGBY,63336.24
020013000,401500,36585779,110,HOWARD DR,,LOT 5,7710.12
010043000,850700,36585780,1861,WINSTON RD,,LOT A RUGBY,16030.08
010045000,894400,36585781,1867,WINSTON RD,,LOT 1 & PT 2 BK 5 RUGBY,11979
020019100,863200,36585782,947,ROSSER LN,,PARCEL B RUGBY,26397.36
020016200,532200,36585783,1109,RUGBY RD,,LOT C,8319.96
020012000,475700,36585784,112,HOWARD DR,,LOT 6,10062.36
020031000,1510800,36585785,1859,FIELD RD,,"LOT 1 & PT 23&24, PAR X BK 9 RUGBY",24175.8
020033000,952000,36585786,1862,FIELD RD,,LOT 10 BK 8 RUGBY,25221.24
010044000,1364300,36585787,1863,WINSTON RD,,"LOTS 3,4 & PT 2 BK 5 RUGBY",18730.8
020029000,1095100,36585788,1834,WESTVIEW RD,,"LOT 21&PT 20,23&24 BK 9 RUGBY",25700.4
020020000,1118500,36585789,945,ROSSER LN,,LOT 5 & PT 4 BK 13 RUGBY,18687.24
020016100,570000,36585790,1107,RUGBY RD,,LOT B,9757.44
010042000,733400,36585791,1859,WINSTON RD,,PT LOTS 5 & 6 BK 5 RUGBY,7492.32
020037000,908200,36585792,1860,FIELD RD,,LOT 9 BK 8 RUGBY,21649.32
020017000,772500,36585793,1105,RUGBY RD,,PT LOT 5,26353.8
020034000,625700,36585794,1857,WINSTON RD,,LOT 7 & PT 6 BK 5 RUGBY,11238.48
020019000,1918300,36585795,1101,RUGBY RD,,PARCEL A RUGBY,51836.4
020023100,1721400,36585796,1829,WESTVIEW RD,,LOT B BK 8 RUGBY,28270.44
020038000,792800,36585797,1858,FIELD RD,,LOT 8 BK 8 RUGBY,24219.36
020035000,841600,36585798,1855,WINSTON RD,,LOT 8 & PT 9 BK 5 RUGBY,16204.32
020022000,1060200,36585799,939,ROSSER LN,,LOT D BK 13 RUGBY,33584.76
020042000,786000,36585800,1856,FIELD RD,,LOT 7 BK 8 RUGBY,13634.28
020044000,732200,36585801,919,OLD FARM RD,,LOT 5 BK 8 ROSSER,11674.08
030001000,571800,36585802,1106,RUGBY RD,,LOT RUGBY,18556.56
020036000,592800,36585803,1851,WINSTON RD,,PT LOTS 9 & 10 BK 5 RUGBY,14984.64
020043000,786000,36585804,1854,FIELD RD,,LOT 6 BK 8 RUGBY,14636.16
030003000,499400,36585805,1717,RUGBY AVE,,LOT,11586.96
030005000,481600,36585806,1715,RUGBY AVE,,PT LOT 2,10846.44
020053000,759700,36585807,1832,WESTVIEW RD,,LOT 6 & PT 5 BK 7 RUGBY,17467.56
020066000,851100,36585808,942,ROSSER LN,,LOT 23 BK I RUGBY,25700.4
020045000,696300,36585809,913,OLD FARM RD,,LOT 4 BK 8 RUGBY,11238.48
030006100,848100,36585810,1705,RUGBY AVE,,LOT A,27834.84
020039000,681700,36585811,1849,WINSTON RD,,PT LOTS 10 & 11 BK 5 RUGBY,12763.08
030006000,632000,36585812,1701,RUGBY AVE,,LOT B,20734.56
030002000,555400,36585813,1102,RUGBY RD,,PT LOT RUGBY,16335
020040000,362400,36585814,1847,WINSTON RD,,PT LOT 11 BK 5 RUGBY,9016.92
030007000,297800,36585815,1106,STONEFIELD LN,,LOT 2 RUGBY WOODS,7797.24
020065000,686800,36585816,938,ROSSER LN,,LOTS 22 & B BK 1 RUGBY,22389.84
020046000,723500,36585817,911,OLD FARM RD,,LOTS 2A & 3 BK 8 RUGBY,15812.28
020052000,925900,36585818,916,OLD FARM RD,,PT LOTS 4 & 5 BK 7 RUGBY,12371.04
030004000,759300,36585819,1711,RUGBY AVE,,LOT,11543.4
020041000,709100,36585820,1843,WINSTON RD,,LOTS 12 & 13 BK 8 RUGBY,26702.28
020054600,843800,36585821,915,COTTAGE LN,,LOT 7 BK B RUGBY,13285.8
020068000,2539000,36585822,1007,RUGBY RD,,LOTS 1 & 2A BK 1 RUGBY,80803.8
030009000,307800,36585823,1641,RUGBY AVE,,LOT 2 RUGBY WOODS,11238.48
030010000,605800,36585824,1637,RUGBY AVE,,LOTS 3 & 3A RUGBY WOODS,13503.6
020023000,1921300,36585825,1801,WESTVIEW RD,,LOT A1 BK 13 RUGBY,47785.32
030011000,147300,36585826,1627,RUGBY AVE,,LOT 4 RUGBY WOODS,12283.92
020051000,682200,36585827,912,OLD FARM RD,,PT LOTS 3 & 4 BK 7 RUGBY,16509.24
020064000,849300,36585828,932,ROSSER LN,,LOT A BK 1 RUGBY,21823.56
030012000,511800,36585829,1625,RUGBY AVE,,LOT 5 RUGBY WOODS,12240.36
030008000,403300,36585830,1643,RUGBY AVE,,LOT 1 RUGBY WOODS,7274.52
030013000,380600,36585831,1623,RUGBY AVE,,LOT 6 RUGBY WOODS,12283.92
020047000,727900,36585832,907,OLD FARM RD,,LOT 2 BK 8 RUGBY,14026.32
030014000,589700,36585833,1621,RUGBY AVE,,LOT A-1 RUGBY WOODS,12066.12
020054500,1130600,36585834,911,COTTAGE LN,,LOT 6 BK B RUGBY,9931.68
030015000,730300,36585835,1105,HERNDON RD,,LOT B-1 RUGBY WOODS,11935.44
020055101,746900,36585836,1828,WESTVIEW RD,,LOT 11 BK A RUGBY,13982.76
030016000,885500,36585837,1549,RUGBY AVE,,LOT 9 & PT 10 RUGBY WOODS,17380.44
020063000,1011100,36585838,928,ROSSER LN,,LOT 20 BK 1 RUGBY,19297.08
030018000,353000,36585839,1545,RUGBY AVE,,PT LOT 10 RUGBY WOODS,10367.28
020050000,1026300,36585840,910,OLD FARM RD,,LOT A RUGBY,16335
020055900,210100,36585841,1824,WESTVIEW RD,,LOT 10 BK A RUGBY,10018.8
020048000,758900,36585842,1839,WINSTON RD,,LOT 1 BK 8 RUGBY,13808.52
030052000,669000,36585843,1006,RUGBY RD,,LOT B MALLISON PROP,17206.2
020054400,547300,36585844,909,COTTAGE LN,,LOT 5 BK B RUGBY,11107.8
030051000,471000,36585845,1718,RUGBY AVE,,PT LOT 2,23261.04
020055110,409100,36585846,910,COTTAGE LN,,LOT 12 BK A RUGBY,10846.44
030050000,458100,36585847,1710,RUGBY AVE,,PT LOT 2,23304.6
020055800,1049900,36585848,1822,WESTVIEW RD,,LOT 9 BK A RUGBY,12283.92
030049000,545500,36585849,1708,RUGBY AVE,,LOT 3,19079.28
030048000,451600,36585850,1706,RUGBY AVE,,LOT 4,16727.04
020062000,839500,36585851,924,ROSSER LN,,LOT 19 BK 1 RUGBY,16509.24
030047000,583700,36585852,1702,RUGBY AVE,,LOT 5 & PARCEL X,20255.4
020050100,830800,36585853,906,OLD FARM RD,,LOT B RUGBY,13852.08
030046000,699100,36585854,1700,RUGBY AVE,,LOT 6 & STRIP,24742.08
020054300,799200,36585855,907,COTTAGE LN,,LOT 4 BK B RUGBY,10497.96
030045000,917300,36585856,1698,RUGBY AVE,,LOT B WESTWOOD,32060.16
020055700,123800,36585857,1820,WESTVIEW RD,,LOT 8 BK A RUGBY,14287.68
020055000,754400,36585858,908,COTTAGE LN,,LOT 1 BK A RUGBY,0
030052100,445200,36585859,1004,RUGBY RD,,LOT A MALLISON PROP,13416.48
020049000,847800,36585860,1825,WINSTON RD,,LOT 1 BK 7 RUGBY,14287.68
030024000,715300,36585861,1626,RUGBY AVE,,LOT 1 BK B WESTWOOD,16030.08
020061000,1088600,36585862,920,ROSSER LN,,LOT 18 BK 1 RUGBY,15376.68
020054200,894200,36585863,905,COTTAGE LN,,LOT 3 BK B RUGBY,10497.96
030023000,534400,36585864,1618,RUGBY AVE,,LOT 2 BK B WESTWOOD,15986.52
030022000,546600,36585865,1620,RUGBY AVE,,LOT 3 BK B WESTWOOD,15986.52
020055600,721700,36585866,909,ROSSER LN,,LOT 7 BK A RUGBY,15681.6
030021000,650300,36585867,1610,RUGBY AVE,,LOT 4 BK B WESTWOOD,15986.52
030020000,544100,36585868,1606,RUGBY AVE,,LOT 5 BK B WESTWOOD,15986.52
020054000,567200,36585869,1823,WINSTON RD,,LOT 1 BK 5 RUGBY,9452.52
030045100,360900,36585870,1165,KENSINGTON AVE,,LOT A WESTWOOD,8668.44
030019000,430000,36585871,1600,RUGBY AVE,,LOT 6 BK B WESTWOOD,13895.64
030053000,209100,36585872,1224,PRESTON AVE,A&B,LOT,10715.76
020071000,315200,36585873,0,RUGBY RD,,LOT 6 BK 1 RUGBY,24611.4
020060000,931600,36585874,918,ROSSER LN,,PT LOT 17 & PAR X  BK 18 RUGBY,12327.48
020054100,841800,36585875,1821,WINSTON RD,,LOT 2 BK B RUGBY,10802.88
020055100,658300,36585876,904,COTTAGE LN,,LOT 2 BK A RUGBY,9452.52
020055500,706900,36585877,907,ROSSER LN,,LOT 6 BK A RUGBY,12675.96
030144000,2283700,36585878,936,RUGBY RD,,"PT LOTS 31,32 & 30' STRIP",107288.28
030044000,455400,36585879,1163,KENSINGTON AVE,,LOT 3 BK A WESTWOOD,22781.88
030054000,195200,36585880,1222,PRESTON AVE,,LOT,17206.2
030025000,450900,36585881,1619,WESTWOOD RD,,LOT 9 BK B WESTWOOD,15986.52
