RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
3,010006000,2028,BARRACKS RD,,Single Family,2 Story,A,Architectural Shingles,Hardwood,Hot Water Radiator,2,1940,10,6,1,4,0,1018,900,Partial Basement,Brick Veneer,2.00,3368
4,010007000,1930,BARRACKS RD,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,3,1939,13,5,1,4,0,1708,1468,Partial Basement,Brick Veneer,2.00,5446
6,010009000,1920,BARRACKS RD,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1939,8,4,1,3,0,1128,,Full Basement,Brick Veneer,2.00,2633
7,010010000,1851,WESTVIEW RD,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Forced Air,2,1950,9,4,2,3,0,1527,1375,Full Basement,Hardy Board,1.50,2144
8,010011000,1855,WESTVIEW RD,,Single Family,1.5 Story,B,Architectural Shingles,Hardwood,Forced Air,1,1954,14,6,0,5,1,2492,1573,Full Basement,Brick Veneer,1.33,3392
9,010012000,1857,WESTVIEW RD,,Single Family,Tri-Level,B++,Architectural Shingles,Hardwood,Forced Air,1,1952,8,3,0,2,1,,,No Basement,Brick Veneer,1.0,2520
10,010014000,1885,WESTVIEW RD,,Single Family,1.5 Sty Excellent,A -,Slate,Hardwood,Forced Air,1,1941,11,5,2,4,0,1671,1330,Partial Basement,Brick/Masonry,1.50,2584
11,010015000,1889,WESTVIEW RD,,Single Family,2 Story,B,Shingles,Hardwood,Heat Pump,2,1952,11,4,0,4,0,1166,779,Partial Basement,Brick Veneer,2.00,2913
12,010016000,1891,WESTVIEW RD,,Single Family,2 Story,B,Shingles,Other,Radiant,2,1940,7,4,0,2,0,,,No Basement,Wood,2.00,2326
15,010019000,1890,WESTVIEW RD,,Single Family,2 Story,A,Shingles,Hardwood,Heat Pump,1,2002,6,3,1,2,0,,,No Basement,Wood,2.00,2080
16,010020000,1888,WESTVIEW RD,,Single Family,2 Story,A -,Architectural Shingles,Hardwood,Forced Air,1,1951,12,5,2,4,0,640,640,Partial Basement,Brick Veneer,2.00,4368
17,010021000,1884,WESTVIEW RD,,Single Family,1 Story,A,Shingles,Tile,Forced Air,1,1950,8,3,1,3,0,0,0,No Basement,Brick Veneer,1.00,2818
18,010022000,1882,WESTVIEW RD,,Single Family,1.5 Story,A,Architectural Shingles,Hardwood,Heat Pump,2,1970,10,6,2,4,0,,,No Basement,Brick Veneer,1.75,3720
19,010023000,1880,WESTVIEW RD,,Single Family,1.5 Story,B +,Shingles,Hardwood,Hot Water Radiator,2,1950,9,3,1,2,0,,,No Basement,Brick Veneer,1.75,2719
20,010024000,1878,WESTVIEW RD,,Single Family,1.5 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1947,10,4,0,3,0,1392,927,Full Basement,Brick Veneer,1.50,2366
21,010024A00,1876,WESTVIEW RD,,Single Family,1.5 Story,A,Shingles,Hardwood,Heat Pump,1,2002,11,4,2,3,0,,,No Basement,Wood,1.66,3783
22,010026000,1852,WESTVIEW RD,,Single Family,1 Story,C,Shingles,None,Forced Air,0,1951,3,1,0,1,0,,,No data,Wood,1.00,558
23,010026000,1852,WESTVIEW RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1951,8,4,0,3,0,437,,Partial Basement,Wood,1.00,2894
24,010027000,1863,FIELD RD,,Single Family,1 Sty No Bsmt,B +,Architectural Shingles,Hardwood,Forced Air,2,1953,7,3,0,4,0,,,No Basement,Brick Veneer,1.00,2321
25,010028000,1865,FIELD RD,,Single Family,1 Story,A,Shingles,W/W Carpet,Forced Air,2,1953,7,3,1,2,0,,,No Basement,Vinyl,1.00,2625
26,010029000,1867,FIELD RD,,Single Family,1.5 Story,B++,Shingles,Hardwood,Hot Water Radiator,1,1953,7,3,0,3,0,,,No Basement,Wood,1.50,3156
