RecordID_Int,ParcelNumber,SaleDate,SaleAmount,StreetName,StreetNumber,Unit,BookPage
1,010001000,2000/10/23 04:00:00+00,0,EMMET ST N,1117,,793:231
2,010001000,2016/02/10 05:00:00+00,0,EMMET ST N,1117,,2016:418
3,010001000,2016/02/10 05:00:00+00,0,EMMET ST N,1117,,2016:418
4,010001100,2008/09/23 04:00:00+00,0,MILLMONT ST,1035-67,,2008:4750
5,010001100,2008/09/23 04:00:00+00,484687,MILLMONT ST,1035-67,,2008:4756
6,010001100,1995/01/13 05:00:00+00,18381,MILLMONT ST,1035-67,,645:681
7,010001100,2008/09/23 04:00:00+00,0,MILLMONT ST,1035-67,,2008:4755
8,010001100,2008/09/23 04:00:00+00,0,MILLMONT ST,1035-67,,2008:4754
9,010001100,2008/09/23 04:00:00+00,0,MILLMONT ST,1035-67,,2008:4751
10,010001100,1995/01/13 05:00:00+00,700000,MILLMONT ST,1035-67,,0:0
11,010001100,2008/09/23 04:00:00+00,113437,MILLMONT ST,1035-67,,2008:4759
12,010001100,2008/09/23 04:00:00+00,113437,MILLMONT ST,1035-67,,2008:4758
13,010001100,2008/09/23 04:00:00+00,0,MILLMONT ST,1035-67,,2008:4753
14,010001100,2008/09/23 04:00:00+00,0,MILLMONT ST,1035-67,,2008:4752
15,010001100,2008/09/23 04:00:00+00,113437,MILLMONT ST,1035-67,,2008:4757
16,010001200,1988/12/30 05:00:00+00,0,MILLMONT ST,1159,,0:0
17,010001200,1989/03/15 04:00:00+00,0,MILLMONT ST,1159,,525:627
18,010001300,1989/03/15 04:00:00+00,0,MILLMONT ST,1135-37,,525:627
19,010001300,1988/12/30 05:00:00+00,0,MILLMONT ST,1135-37,,0:0
20,010001400,1997/04/29 04:00:00+00,8389526,MILLMONT ST,1111,,692:693
21,010001400,1996/03/18 04:00:00+00,827000,MILLMONT ST,1111,,0:0
22,010001500,1988/12/30 05:00:00+00,0,MILLMONT ST,1149,,0:0
23,010001500,1989/03/15 04:00:00+00,0,MILLMONT ST,1149,,525:627
24,010001600,1900/01/01 05:00:00+00,0,MASSIE RD,600,,0:0
25,010001700,1983/12/30 05:00:00+00,0,MILLMONT ST,1101,,0:0
26,010001700,1988/08/31 04:00:00+00,1300000,MILLMONT ST,1101,,517:527
27,010001900,2000/04/27 04:00:00+00,2990000,MILLMONT ST,1023,,779:625
28,010001900,2000/04/27 04:00:00+00,0,MILLMONT ST,1023,,779:632
29,010001900,1986/12/01 05:00:00+00,1750000,MILLMONT ST,1023,,0:0
30,010001900,1997/06/27 04:00:00+00,260000,MILLMONT ST,1023,,697:134
31,010001900,2012/05/10 04:00:00+00,2220308,MILLMONT ST,1023,,2012:1970
32,010004000,1996/12/27 05:00:00+00,0,EMMET ST N,1138,,685:683
33,010004000,2018/05/21 04:00:00+00,0,EMMET ST N,1138,,2018:1798
34,010004000,2018/01/05 05:00:00+00,0,EMMET ST N,1138,,2018:0073
35,010004000,2018/05/21 04:00:00+00,0,EMMET ST N,1138,,2018:1799
36,010004000,1996/09/17 04:00:00+00,0,EMMET ST N,1138,,0:0
37,010004000,2018/05/21 04:00:00+00,0,EMMET ST N,1138,,2018:1797
38,010004100,2010/09/27 04:00:00+00,0,EMMET ST N,1170,,2010:3587
39,010004100,2018/01/05 05:00:00+00,0,EMMET ST N,1170,,2018:0073
40,010004100,2018/05/21 04:00:00+00,0,EMMET ST N,1170,,2018:1799
41,010004100,1985/09/16 04:00:00+00,200000,EMMET ST N,1170,,469:9
42,010004100,2016/09/23 04:00:00+00,0,EMMET ST N,1170,,2016:3705
43,010004100,2017/04/19 04:00:00+00,0,EMMET ST N,1170,,2017:1431
44,010004100,1998/01/05 05:00:00+00,400000,EMMET ST N,1170,,710:19
45,010004100,2018/05/21 04:00:00+00,0,EMMET ST N,1170,,2018:1797
46,010004100,1981/03/13 04:00:00+00,130000,EMMET ST N,1170,,0:0
47,010004100,2018/05/21 04:00:00+00,0,EMMET ST N,1170,,2018:1798
48,010004100,2019/09/06 04:00:00+00,0,EMMET ST N,1170,,2019:3150
49,010004300,1987/06/22 04:00:00+00,220000,EMMET ST N,1134,,497:612
50,010004300,1987/06/22 04:00:00+00,220000,EMMET ST N,1134,,497:612
51,010004300,2001/04/19 04:00:00+00,375000,EMMET ST N,1134,,806:475
52,010004300,1971/06/16 04:00:00+00,32000,EMMET ST N,1134,,0:0
53,010004400,2002/04/15 04:00:00+00,350000,EMMET ST N,1136-A,1,848:464
54,010004400,1969/01/09 05:00:00+00,85600,EMMET ST N,1136-A,1,0:0
55,010004400,1988/06/29 04:00:00+00,0,EMMET ST N,1136-A,1,514:265
56,010004500,1988/06/29 04:00:00+00,0,EMMET ST N,1136-B,2,0:0
57,010004500,2009/12/16 05:00:00+00,0,EMMET ST N,1136-B,2,2009:5460
58,010004500,1988/07/07 04:00:00+00,200000,EMMET ST N,1136-B,2,514:656
59,010005000,1993/02/18 05:00:00+00,0,BARRACKS RD,0,,651:842
60,010005000,1993/02/18 05:00:00+00,0,BARRACKS RD,0,,651:842
61,010006000,2003/01/31 05:00:00+00,545000,BARRACKS RD,2028,,889:518
62,010006000,2003/02/20 05:00:00+00,0,BARRACKS RD,2028,,892:324
63,010006000,1995/05/25 04:00:00+00,0,BARRACKS RD,2028,,651:842
64,010007000,1982/07/27 04:00:00+00,160000,BARRACKS RD,1930,,430:456
65,010008000,1984/08/31 04:00:00+00,175000,BARRACKS RD,0,,455:14
66,010008000,2015/01/28 05:00:00+00,0,BARRACKS RD,0,,W2015:44
67,010009000,1984/08/31 04:00:00+00,175000,BARRACKS RD,1920,,455:14
68,010009000,2015/01/28 05:00:00+00,0,BARRACKS RD,1920,,W2015:44
69,010010000,1995/02/28 05:00:00+00,0,WESTVIEW RD,1851,,647:785
70,010010000,2018/10/31 04:00:00+00,575000,WESTVIEW RD,1851,,2018:4174
71,010011000,2018/01/10 05:00:00+00,970000,WESTVIEW RD,1855,,2018:0121
72,010011000,1984/05/16 04:00:00+00,205000,WESTVIEW RD,1855,,450:37
73,010012000,2015/05/04 04:00:00+00,512000,WESTVIEW RD,1857,,2015:1391
74,010012000,2003/07/09 04:00:00+00,0,WESTVIEW RD,1857,,WB47:105
75,010012000,1973/12/17 05:00:00+00,50000,WESTVIEW RD,1857,,353:178
76,010012000,2020/06/26 04:00:00+00,785000,WESTVIEW RD,1857,,2020:2489
77,010012000,2015/05/04 04:00:00+00,0,WESTVIEW RD,1857,,2015:241
78,010014000,2007/06/26 04:00:00+00,975000,WESTVIEW RD,1885,,1147:846
79,010014000,2020/07/27 04:00:00+00,1425000,WESTVIEW RD,1885,,2020:2907
80,010014000,2017/03/16 04:00:00+00,0,WESTVIEW RD,1885,,2017:1011
81,010014000,2007/02/05 05:00:00+00,0,WESTVIEW RD,1885,,WB49:629
82,010014000,1984/07/12 04:00:00+00,0,WESTVIEW RD,1885,,102:187
83,010015000,2002/07/03 04:00:00+00,480000,WESTVIEW RD,1889,,859:644
84,010015000,1996/08/16 04:00:00+00,325000,WESTVIEW RD,1889,,678:230
85,010016000,1979/08/22 04:00:00+00,91000,WESTVIEW RD,1891,,405:337
86,010017000,2014/11/14 05:00:00+00,0,WESTVIEW RD,1893,,W2014:464
87,010017000,2014/11/14 05:00:00+00,0,WESTVIEW RD,1893,,W2014:464
88,010017000,2017/06/08 04:00:00+00,636000,WESTVIEW RD,1893,,2017:2200
89,010017000,2018/10/19 04:00:00+00,1030000,WESTVIEW RD,1893,,2018:4031
90,010017000,2015/02/26 05:00:00+00,0,WESTVIEW RD,1893,,2015:552
91,010017000,2014/11/14 05:00:00+00,0,WESTVIEW RD,1893,,W2014:464
92,010017000,2016/01/29 05:00:00+00,0,WESTVIEW RD,1893,,2016:277
93,010017000,1958/10/10 04:00:00+00,31500,WESTVIEW RD,1893,,208:382
94,010017000,2017/02/07 05:00:00+00,0,WESTVIEW RD,1893,,2017:485
95,010017000,2015/11/25 05:00:00+00,0,WESTVIEW RD,1893,,W2015:638
